date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,32.0,38.0,16,2026-09-08T01:04:37.394655Z
2026-09-07,31.0,36.0,24,2026-09-08T01:04:37.394655Z
2026-09-08,30.0,32.0,5,2026-09-08T01:04:37.394655Z
