date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,27.0,30.0,11,2026-09-07T18:10:18.230652Z
2026-09-07,25.0,27.0,24,2026-09-07T18:10:18.230652Z
2026-09-08,25.0,25.0,3,2026-09-07T18:10:18.230652Z
