date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,24.0,32.0,11,2026-09-08T01:04:37.394655Z
2026-09-07,21.0,33.0,24,2026-09-08T06:19:38.374705Z
2026-09-08,23.0,33.0,15,2026-09-08T06:19:38.374705Z
