date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,11.0,15.0,15,2026-09-07T16:57:23.022074Z
2026-09-07,8.0,10.0,48,2026-09-07T16:57:23.022074Z
2026-09-08,5.0,10.0,10,2026-09-07T16:57:23.022074Z
