date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-07,27.0,30.30,1440,2026-09-08T01:04:37.394655Z
2026-09-08,27.50,28.80,531,2026-09-08T01:04:37.394655Z
