date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,26.0,32.0,33,2026-09-08T06:19:38.374705Z
2026-09-07,25.0,32.0,48,2026-09-09T05:03:29.455344Z
2026-09-08,26.0,34.0,48,2026-09-09T10:00:43.609198Z
2026-09-09,24.0,33.0,27,2026-09-09T10:00:43.609198Z
