date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,14.0,32.0,33,2026-09-08T01:04:37.394655Z
2026-09-07,13.0,24.0,48,2026-09-08T01:04:37.394655Z
2026-09-08,11.0,13.0,9,2026-09-08T01:04:37.394655Z
