date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,26.0,30.0,26,2026-09-07T16:57:23.022074Z
2026-09-07,27.0,35.0,48,2026-09-07T16:57:23.022074Z
2026-09-08,29.0,29.0,2,2026-09-07T16:57:23.022074Z
