date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,0.0,12.0,22,2026-09-08T11:37:53.428526Z
2026-09-07,0.0,13.0,24,2026-09-08T22:25:19.277467Z
2026-09-08,8.0,19.0,20,2026-09-08T22:25:19.277467Z
