date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,15.0,27.0,20,2026-09-08T06:19:38.374705Z
2026-09-07,13.0,29.0,28,2026-09-08T11:37:53.428526Z
2026-09-08,13.0,29.0,19,2026-09-08T11:37:53.428526Z
