date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,22.0,32.0,11,2026-09-07T20:25:02.625917Z
2026-09-07,18.0,31.0,24,2026-09-07T20:25:02.625917Z
2026-09-08,22.0,23.0,5,2026-09-07T20:25:02.625917Z
