date,obs_min_c,obs_max_c,sample_count,updated_at_utc
2026-09-06,25.0,31.0,23,2026-09-08T01:04:37.394655Z
2026-09-07,17.0,29.0,48,2026-09-09T00:27:07.278817Z
2026-09-08,15.0,25.0,48,2026-09-09T10:00:43.609198Z
2026-09-09,14.0,27.0,36,2026-09-09T10:00:43.609198Z
